	C1_FDSW202534412	CXD_0204_FDSW210423206	CXD_0209_FDSW210423211	CXD_0210_FDSW210423212	CXD_0213_FDSW210423215	CXD_0214_FDSW210423216	CXD_0215_FDSW210423217	CXD_0801_FDSW210423161	CXD_0802_FDSW210423162	CXD_0803_FDSW210423163	CXD_0804_FDSW210423164	CXD_0805_FDSW210423165	CXD_0807_FDSW210423167	CXD_1001_FDSW210423173	CXD_1003_FDSW210423175	CXD_1004_FDSW210423176	CXD_1007_FDSW210423179	CXD_1009_FDSW210423181	CXD_1015_FDSW210423187	CXD_1201_FDSW210423188	CXD_1202_FDSW210423189	CXD_1203_FDSW210423190	CXD_1213_FDSW210423200	CXD_1214_FDSW210423201	CXD_1215_FDSW210423202	CXD_1401_FDSW210423218	CXD_1402_FDSW210423219	CXD_1408_FDSW210423225	CXD_1412_FDSW210423229	CXD_1414_FDSW210423231	CXD_1415_FDSW210423232	CXD_1604_FDSW210423236	CXD_1609_FDSW210423241	CXD_1610_FDSW210423242	CXD_1611_FDSW210423243	CXD_1612_FDSW210423244	CXD_1613_FDSW210423245	DD1_FDSW220008388	DD11_FDSW220008398	DD13_FDSW220008400	DD15_FDSW220008402	DD3_FDSW220008390	DD5_FDSW220008392	DD7_FDSW220008394	DD9_FDSW220008396	DY10_FDME210438608	DY11_FDME210438609	DY13_FDME210438611	DY15_FDME210438613	DY2_FDME210438600	DY6_FDME210438604	DY7_FDME210438605	E10_FDSW202534389	E100_FDSW202534392	E150_FDSW202534393	E20_FDSW202534390	E5_FDSW202534388	E50_FDSW202534391	LYG1_FDME210455382	LYG11_FDME210455392	LYG13_FDME210455394	LYG3_FDME210455384	LYG5_FDME210455386	LYG6_FDME210455387	LYG7_FDME210455388	N10_FDSW202534407	N100_FDSW202534410	N150_FDSW202534411	N20_FDSW202534408	N5_FDSW202534406	N50_FDSW202534409	NB1_FDME210455352	NB11_FDME210455362	NB12_FDME210455363	NB15_FDME210455366	NB2_FDME210455353	NB4_FDME210455355	NB6_FDME210455357	NB7_FDME210455358	S10_FDSW202534395	S100_FDSW202534398	S150_FDSW202534399	S20_FDSW202534396	S5_FDSW202534394	S50_FDSW202534397	SY11_FDME210455407	SY12_FDME210455408	SY13_FDME210455409	SY15_FDME210455411	SY3_FDME210455399	SY7_FDME210455403	SY9_FDME210455405	W10_FDSW202534401	W100_FDSW202534404	W150_FDSW202534405	W20_FDSW202534402	W5_FDSW202534400	W50_FDSW202534403	WZ1_L1	WZ10_L1	WZ11_L1	WZ14_L1	WZ15_FDME210455471	WZ3_L1	WZ5_L1	WZ7_FDME210455463	YC1_FDME220007405	YC11_FDME220007415	YC13_FDME220007417	YC15_FDME220007419	YC3_FDME220007407	YC5_FDME220007409	YC7_FDME220007411	YC9_FDME220007413	ZH1_FDSW220008784	ZH11_FDSW220008794	ZH13_FDSW220008796	ZH15_FDSW220008798	ZH3_FDSW220008786	ZH5_FDSW220008788	ZH7_FDSW220008790	ZH9_FDSW220008792
JS_YC_2021_05_15_bin_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.620806491	11.68719127	10.19703113	8.424874548	13.73153371	18.31108641	10.12000693	19.82983774	0	0	0	0	0	0	0	0
JS_YC_2021_05_15_bin_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.11393882	11.25746493	13.8578561	15.86716319	7.348049502	6.670147772	17.37193493	10.40718041	0	0	0	0	0	0	0	0
LN_DD_2021_06_15_bin_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.985880629	13.63153593	7.40684719	10.57399387	16.02027057	10.92959345	7.317092267	10.05708452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.143303488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.813338658	0	0	0
LN_DD_2021_06_15_bin_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.87980837	19.42653708	23.06945999	14.57908663	7.807182709	42.10690708	27.52607571	44.66219644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.942548652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN_DD_2021_06_15_bin_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3678679	14.75790612	31.44762225	18.09034075	17.91397714	11.82975306	39.25455363	18.01184934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN_DD_2021_06_15_bin_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.603728924	11.08765411	12.26703249	12.64350656	9.37306653	5.161149954	6.73065197	7.589334939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_DY_2021_06_15_bin_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.467192907	1.489444021	6.774973206	8.056335861	5.693106012	6.619487906	10.83886519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_11	0	0	0	0	0	0	0	0	0	0.845943631	0	0	0	0	0	0	0.945407223	0	3.126632539	0	0	3.871969083	6.113308509	2.128408905	0	0	0	0	0	0.876172575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.270049561	0	0	1.486427769	1.873933615	0	0	0	0	0	0	0	0	0	0	0	1.107858349	0	0	0	0	0	0	0	0	0	0	1.185052851	1.994124764	1.434595648	3.56891602	1.876232836	4.158177201	0	0	0	0	0	0	0	0	1.834727306	0	1.478865167	1.277067785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_12	2.816702023	0	0	0	0	0	0	0	1.016893984	0	0	0	1.843862709	0	1.823266215	0	2.199308953	2.32119601	3.110828713	1.224819377	1.150315491	1.930071525	5.733210525	3.340762806	1.229311933	0	1.277161213	0	1.05116113	3.230381387	5.231260202	2.990598981	0	6.285862235	6.017660742	5.720390938	4.353626476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.618614593	2.86243249	5.017345973	4.156477474	3.695389183	3.641948203	0	0	0	0	0	0	0	3.659252387	4.368831472	5.278994457	1.958594439	2.994596325	2.442630914	0	0	0	0	0	0	0	0	2.938943093	2.035779476	3.027096963	3.633383305	4.226146253	2.165713904	0	0	0	0	0	0	0	3.398156257	2.94850148	1.022825521	2.501111872	4.10075205	2.229294775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_20	4.067009939	0	1.850079279	0	0	0	0	1.387991109	1.410924088	2.373342848	1.173385011	7.883133113	3.157140354	2.145355895	2.120924513	2.380680181	2.938090707	3.473485178	5.675569366	2.452156158	1.883777278	1.409192887	5.527081557	5.630159494	3.726526762	0	0	0	2.479248777	9.293618501	7.577364558	0	0.950464002	1.009632745	1.290486143	0.88518506	1.23379651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.876145475	2.129747084	2.616765835	3.067962565	3.213272163	4.190258121	0	0	0	0	0	0	0	3.296051854	3.802478518	3.498414291	2.085819875	4.161268409	2.762978712	0	0	0	0	0	0	0	0	2.876794067	3.810798477	3.867354574	4.00042556	3.359909935	3.542111247	0	0	0	0	0	0	0	2.6588767	3.968622951	3.997842533	2.864486463	3.358484234	3.205197976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_23	1.621138711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.871053213	0	0	0	1.781728696	0	0	0	0	0	0	2.664216528	1.485384763	1.082768835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.535060762	6.355156061	2.324693714	1.236949353	1.870284636	9.689467018	0	0	0	0	0	0	0	1.154380093	8.835959608	5.092176173	1.420071875	1.30844572	7.841648489	0	0	0	0	0	0	0	0	1.626060055	0.975634168	1.267554438	2.423952254	2.800226811	1.390517861	0	0	0	0	0	0	0	1.468393584	0	0	1.128748375	1.682384013	1.218990942	0	0	0	0	0.960245882	0	0	0	0	0	0	0	0	0	0	0	0	4.427730904	3.264746614	3.985865462	4.467594256	0.84060245	4.439286217	5.028079677
SD_QD_2020_06_15_bin_29	2.600101959	0	0	0	0	0	0	0	0.909175536	0	0	0	0	0	0	0	0	0	3.117461059	0	0.971826932	1.373265435	3.532430856	1.394807815	0	0	0	0	0	3.296991279	2.952715612	2.801388407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.16203768	4.683855427	3.266914554	2.769344415	2.976468944	5.915131953	0	0	0	0	0	0	0	1.613418097	5.035295539	4.460730199	1.418908532	1.703471801	6.461017532	0	0	0	0	0	0	0	0	2.770473109	1.518982549	1.667591922	3.430091823	4.092159931	1.670566228	0	0	0	0	0	0	0	2.833498966	1.626561449	0	2.469324959	3.122216546	2.250662643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_35	4.307896697	1.823589996	7.70446862	2.963846328	2.186850458	1.282903753	1.975952699	4.648571097	2.068038356	4.331464026	4.857350072	5.617012058	4.336978739	1.695953004	1.941625551	2.738788966	5.517873384	5.130310146	4.477587389	1.574963794	3.148472114	2.688116653	4.582609099	6.212778298	4.019212988	2.094940541	1.48352903	8.212464696	9.109068426	8.058577385	7.535522759	2.591448939	8.216188793	0	1.133723851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.763919415	1.159034138	1.827589538	2.881245021	3.512285067	2.235365031	0	0	0	0	0	0	0	6.437744228	2.10250736	1.878202454	2.592895788	4.309941245	2.004265228	0	0	0	0	0	0	0	0	2.515351511	2.886566387	2.93911584	2.32437364	2.818609957	2.484158659	0	0	0	0	0	0	0	3.379009463	8.292484116	5.984571846	2.583019372	4.189070998	2.444878844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_37	4.949807306	0	0	0	0	0	1.128224514	0	0	0	0	0	0	0	3.71460069	0	1.623815501	1.997118174	3.920124853	1.270879823	0.963877599	5.390562949	9.71346263	5.104050412	1.304625323	1.734784729	3.975695601	0	2.266065634	8.695761991	9.465909704	11.27569727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.06848509	12.29130414	12.2308419	8.470208046	10.91750144	31.46352271	0	0	0	0	0	0	0	5.467085743	32.59420861	26.27040799	5.10337697	5.944475475	20.22681518	0	0	0	0	0	0	0	0	5.709025729	5.146319032	7.214242393	13.83366722	11.51254914	5.28739191	0	0	0	0	0	0	0	8.321664244	4.634403574	1.327604995	7.70411116	8.849415472	6.783965434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_38	3.13214847	2.429900655	2.416508396	2.935098144	2.033837481	1.110526358	2.488074097	1.253639497	5.116051139	1.412788785	2.229670818	1.889259706	2.498035645	1.881299295	2.211426617	1.987680224	1.995854202	2.755939175	4.977809914	2.633666138	3.114250396	2.721462149	5.173399819	4.88950644	2.803414798	1.425384222	1.258630222	0	2.82562479	4.357656299	5.235997839	2.524788714	1.555883459	2.369453088	2.777920809	2.203046998	1.610619503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.462081715	3.263184084	4.201870847	3.710242767	3.632398578	3.060564696	0	0	0	0	0	0	0	4.037567768	3.290307013	2.613931917	2.388309716	3.021513829	2.784158263	0	0	0	0	0	0	0	0	2.753784201	2.24571562	2.88635727	2.98056227	3.507456844	2.142623397	0	0	0	0	0	0	0	2.426266958	2.836269794	2.362491221	2.415942974	3.530867037	2.199679842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_40	2.492095624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.714428161	0	0	0	0	0	0	1.833408669	1.737659182	2.784862991	0	4.837949738	3.355664953	3.057615713	4.566835974	19.23396756	3.770823049	20.79660061	0	0	4.085763131	2.729994556	2.461420769	0	0	0	0	0	0	0	3.251526211	7.959699272	4.554538633	2.506928781	3.5256109	10.56620525	0	0	0	1.954496918	5.250228136	7.983149905	4.230694923	1.967628918	10.05210917	6.861283143	2.881555493	2.010050313	10.74272868	0	0	0	0	0	0	0	0	3.266280116	2.157079839	1.759469204	4.048818466	4.024593265	2.459792887	0	0	0	0	0	0	0	2.673179751	1.402381684	0	2.207803816	2.69730166	2.196756775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_44	5.761233028	1.867346093	4.044899283	2.889686306	2.059746209	1.978164367	2.192326842	2.586912243	3.293911359	2.983017362	2.847698577	4.052032695	2.817461385	2.901453266	2.787374612	3.396667333	2.625976898	3.313519482	5.557171164	1.586146823	2.632289366	3.463628749	4.860415976	4.796971726	3.330948378	1.697780056	1.662913033	2.199918208	6.164416257	6.995307776	6.303154973	3.434920671	3.069187655	2.584763449	2.747540795	2.719745958	2.173810397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.287264508	7.240939447	6.726455755	5.84519048	4.743333271	6.270419401	0	0	0	0	0	0	0	6.187174204	7.154206969	4.791080047	5.059173026	5.453628743	9.152848016	0	0	0	0	0	0	0	0	4.730336293	6.084382521	4.495591596	4.666830227	4.674875961	5.079866608	0	0	0	0	0	0	0	4.608130897	6.352456938	4.650479296	4.339064421	4.533906996	4.82819363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_6	1.436914307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55125494	0	0	0	0.928417857	1.342590626	0	0	0	0	2.142147181	2.016123637	1.635369288	0.888123783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.025745446	1.665938906	0.800863163	1.060135493	1.13436298	2.164477955	0	0	0	0	0	0	0	1.284290674	2.568902802	1.346456045	0	1.329274231	1.849826982	4.431063708	4.009439136	2.845375317	2.389476269	1.79350441	5.177141983	5.415006034	5.168899949	1.228494052	4.723338053	2.626954018	1.782836527	1.264656675	2.85721836	0	0	0	0	0	0	0	1.119392414	1.624279252	2.340270226	1.85853152	1.356525521	2.343991851	0	0.667260598	0.89323752	1.113743625	4.733253982	1.173823795	0	1.639396293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
